Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Sweetbriar,30.1995939,-97.7763399,Aviator Pizza & Drafthouse,30.194935422117474,-97.77743682539051,Pizza Place
Sweetbriar,30.1995939,-97.7763399,the Little Darlin',30.194450909099054,-97.77677862273067,Bar
Sweetbriar,30.1995939,-97.7763399,Twin Liquors,30.204867100116097,-97.77528375987502,Liquor Store
Sweetbriar,30.1995939,-97.7763399,Holiday Inn Express & Suites Austin South,30.1994014,-97.7678409,Hotel
Sweetbriar,30.1995939,-97.7763399,Trudy's South Star,30.197185924047368,-97.76714609103917,Mexican Restaurant
Sweetbriar,30.1995939,-97.7763399,Corazon Latino,30.196414658152214,-97.7848056463588,Gym / Fitness Center
Sweetbriar,30.1995939,-97.7763399,Asiana Indian Cuisine,30.19051894030548,-97.77247820549206,Indian Restaurant
Sweetbriar,30.1995939,-97.7763399,Tucci's Southside Subs,30.1900463412333,-97.7720856647075,Sandwich Place
Sweetbriar,30.1995939,-97.7763399,Krispy Kreme Doughnuts,30.199690763814296,-97.76676930984938,Donut Shop
Sweetbriar,30.1995939,-97.7763399,Chuy's Panadería Bakery,30.19041174220667,-97.7737692843965,Mexican Restaurant
Sweetbriar,30.1995939,-97.7763399,VIP Nails and Spa Salon,30.200857941611208,-97.76523460966786,Spa
Sweetbriar,30.1995939,-97.7763399,Taquerias Arandinas,30.19768887438834,-97.78782728429134,Mexican Restaurant
Sweetbriar,30.1995939,-97.7763399,Buffalo Wild Wings,30.19690241664319,-97.76766657829285,Wings Joint
Sweetbriar,30.1995939,-97.7763399,Wendy's,30.19171985785591,-97.77070529760294,Fast Food Restaurant
Sweetbriar,30.1995939,-97.7763399,Pollo Rico,30.208908739071543,-97.78160803540428,Mexican Restaurant
Sweetbriar,30.1995939,-97.7763399,Umi Sushi Bar & Grill,30.200214210665614,-97.7632983403483,Sushi Restaurant
Sweetbriar,30.1995939,-97.7763399,1st Wok,30.207859797467457,-97.7810045548568,Chinese Restaurant
Sweetbriar,30.1995939,-97.7763399,DK Sushi,30.20027258738503,-97.7858903372363,Sushi Restaurant
Sweetbriar,30.1995939,-97.7763399,Tortilleria Rio Grande No. 2,30.196265731409824,-97.78523447314286,Mexican Restaurant
Sweetbriar,30.1995939,-97.7763399,Regal Cinemas Metropolitan 14,30.198014,-97.769619,Movie Theater
